City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bandarbeyla,SO,2021-01-19 16:59:47,9.4942,50.8122,74.98,73,78,21.23
68,Kieta,PG,2021-01-19 16:59:47,-6.2167,155.6333,78.6,77,56,2.89
69,Griffin,US,2021-01-19 16:59:47,33.2468,-84.2641,55.99,30,1,9.22
70,Hithadhoo,MV,2021-01-19 16:59:47,-0.6,73.0833,81.41,69,38,7.38
71,Butaritari,KI,2021-01-19 16:59:47,3.0707,172.7902,79.99,82,100,20.49
72,Lesozavodsk,RU,2021-01-19 16:59:48,45.4794,133.4244,-17.5,84,0,7.09
73,Avera,US,2021-01-19 16:59:48,33.194,-82.5271,57.2,35,1,6.91
74,Lagoa,PT,2021-01-19 16:59:48,39.05,-27.9833,58.6,70,72,30.58
75,Saint-Philippe,RE,2021-01-19 16:59:48,-21.3585,55.7679,84.2,74,40,5.75
76,Tulun,RU,2021-01-19 16:57:06,54.5611,100.5792,5.29,94,100,3.31
77,Atuona,PF,2021-01-19 16:59:49,-9.8,-139.0333,77.18,78,5,13.65
78,Saskylakh,RU,2021-01-19 16:59:49,71.9167,114.0833,-23.15,86,100,6.02
79,Mutum,BR,2021-01-19 16:59:49,-19.8,-41.4383,86.04,49,12,4.05
80,Kautokeino,NO,2021-01-19 16:59:49,69.0125,23.0412,5.88,94,100,3.56
81,Kodiak,US,2021-01-19 16:59:50,57.79,-152.4072,26.6,54,1,6.91
82,Pineville,US,2021-01-19 16:59:50,31.3224,-92.4343,66.99,63,1,8.05
83,Ust-Kuyga,RU,2021-01-19 16:59:50,70.0167,135.6,-37.86,78,100,4.79
84,Umarkot,PK,2021-01-19 16:59:50,25.3616,69.7362,64.72,25,0,8.84
85,Mendota,US,2021-01-19 16:59:50,36.7536,-120.3816,54.0,46,1,3.44
86,Bilibino,RU,2021-01-19 16:59:50,68.0546,166.4372,-41.96,76,96,1.3
87,Adrar,MR,2021-01-19 16:59:50,20.5022,-10.0711,74.79,16,5,13.58
88,Bengkulu,ID,2021-01-19 16:59:51,-3.8004,102.2655,76.59,84,46,4.25
89,Ballina,AU,2021-01-19 16:59:51,-28.8667,153.5667,75.2,69,90,12.66
90,Nikolskoye,RU,2021-01-19 16:59:51,59.7035,30.7861,23.0,86,75,2.24
91,Hohhot,CN,2021-01-19 16:59:51,40.8106,111.6522,12.2,52,0,6.71
92,Lanigan,CA,2021-01-19 16:59:51,51.8501,-105.0344,12.2,85,97,12.66
93,Chuy,UY,2021-01-19 16:59:52,-33.6971,-53.4616,82.38,36,0,5.61
94,Cervo,ES,2021-01-19 16:59:52,43.6702,-7.4101,55.0,71,100,5.99
95,Iqaluit,CA,2021-01-19 16:59:52,63.7506,-68.5145,32.0,86,90,16.11
96,Healdsburg,US,2021-01-19 16:59:52,38.6105,-122.8692,57.0,24,1,18.41
97,Severo-Kurilsk,RU,2021-01-19 16:59:52,50.6789,156.125,14.16,87,89,23.4
98,Otaru,JP,2021-01-19 16:59:53,43.1894,141.0022,10.99,86,100,20.78
99,Tuy Hoa,VN,2021-01-19 16:59:53,13.0833,109.3,66.96,87,99,7.47
100,Logatec,SI,2021-01-19 16:59:53,45.9144,14.2258,39.0,88,100,7.05
101,Paris,FR,2021-01-19 16:56:41,48.8534,2.3488,45.0,87,90,11.5
102,Coahuayana,MX,2021-01-19 16:59:53,18.7333,-103.6833,77.0,61,40,2.55
103,Lodja,CD,2021-01-19 16:59:53,-3.4833,23.4333,76.84,65,3,0.94
104,Maragogi,BR,2021-01-19 16:59:00,-9.0122,-35.2225,83.71,62,72,11.68
105,Vaini,TO,2021-01-19 16:59:54,-21.2,-175.2,75.2,94,20,6.69
106,Santa Fe,AR,2021-01-19 16:58:23,-31.6333,-60.7,90.0,29,0,3.0
107,Paamiut,GL,2021-01-19 16:59:54,61.994,-49.6678,31.57,84,98,5.68
108,Kalmunai,LK,2021-01-19 16:59:54,7.4167,81.8167,76.01,92,52,12.44
109,Comodoro Rivadavia,AR,2021-01-19 16:59:54,-45.8667,-67.5,77.0,44,40,9.22
110,Mount Gambier,AU,2021-01-19 16:59:55,-37.8333,140.7667,46.4,87,0,8.05
111,San Patricio,US,2021-01-19 16:59:55,28.017,-97.5169,73.99,78,90,19.57
112,Viking,CA,2021-01-19 16:59:55,53.1001,-111.7684,24.8,68,100,10.36
113,Suntar,RU,2021-01-19 16:59:55,62.1444,117.6319,-38.76,81,100,7.4
114,Santa Isabel Do Rio Negro,BR,2021-01-19 16:59:55,-0.4139,-65.0192,92.32,47,10,5.64
115,Vestmannaeyjar,IS,2021-01-19 16:59:56,63.4427,-20.2734,34.83,82,46,16.62
116,Thai Nguyen,VN,2021-01-19 16:59:56,21.5928,105.8442,55.4,76,0,5.75
117,Klaksvik,FO,2021-01-19 16:59:56,62.2266,-6.589,35.6,87,42,9.22
118,Putyatino,RU,2021-01-19 16:59:56,54.16,41.1169,0.28,94,100,3.33
119,Katangli,RU,2021-01-19 16:59:56,51.7102,143.2326,-8.72,81,100,18.84
120,Sepolno Krajenskie,PL,2021-01-19 16:59:58,53.452,17.5317,32.0,94,100,12.46
121,Islamkot,PK,2021-01-19 16:59:58,24.6997,70.177,67.82,24,0,10.29
122,Nakamura,JP,2021-01-19 16:59:58,32.9833,132.9333,34.14,86,0,3.4
123,College,US,2021-01-19 16:59:59,64.8569,-147.8028,24.8,74,90,11.5
124,Katsuura,JP,2021-01-19 16:59:59,35.1333,140.3,36.0,30,12,3.0
125,Khatanga,RU,2021-01-19 16:59:59,71.9667,102.5,-32.13,83,57,7.65
126,Ixtapa,MX,2021-01-19 16:59:59,20.7,-105.2,73.4,64,75,3.44
127,Ostrovnoy,RU,2021-01-19 16:59:59,68.0531,39.5131,17.53,96,100,24.61
128,Los Llanos De Aridane,ES,2021-01-19 16:59:59,28.6585,-17.9182,66.2,63,40,1.14
129,Verkhnetulomskiy,RU,2021-01-19 16:59:59,68.6073,31.7962,-2.2,84,75,2.24
130,Nekrasovskoye,RU,2021-01-19 16:59:59,57.6766,40.3657,8.6,85,90,4.47
131,Tchollire,CM,2021-01-19 16:59:59,8.4022,14.1698,85.06,13,0,3.6
132,Charters Towers,AU,2021-01-19 17:00:00,-20.1,146.2667,72.86,90,71,5.32
133,Myingyan,MM,2021-01-19 17:00:00,21.4667,95.3833,69.75,60,9,8.39
134,Raudeberg,NO,2021-01-19 17:00:00,61.9875,5.1352,37.99,66,88,10.38
135,Itupiranga,BR,2021-01-19 17:00:01,-5.1347,-49.3267,82.4,100,90,3.44
136,Souillac,MU,2021-01-19 17:00:01,-20.5167,57.5167,80.6,89,75,3.44
137,Eyl,SO,2021-01-19 17:00:03,7.9803,49.8164,77.16,60,91,19.06
138,Bilma,NE,2021-01-19 17:00:04,18.6853,12.9164,67.41,24,5,7.07
139,Clyde River,CA,2021-01-19 17:00:05,70.4692,-68.5914,-2.2,92,75,3.44
140,Puerto Ayora,EC,2021-01-19 17:00:09,-0.7393,-90.3518,80.6,78,20,14.97
141,Oktyabrskoye,RU,2021-01-19 17:00:09,43.0645,44.7417,26.6,93,75,6.71
142,Kruisfontein,ZA,2021-01-19 17:00:10,-34.0033,24.7314,72.0,77,52,7.0
143,Brae,GB,2021-01-19 17:00:11,60.3964,-1.353,41.0,81,40,4.61
144,Vao,NC,2021-01-19 17:00:11,-22.6667,167.4833,78.84,84,66,4.05
145,Vanimo,PG,2021-01-19 17:00:13,-2.6741,141.3028,78.01,82,94,1.23
146,Dalbandin,PK,2021-01-19 17:00:13,28.8947,64.4101,61.86,34,0,5.48
147,Ponta Do Sol,PT,2021-01-19 17:00:14,32.6667,-17.1,60.01,63,100,4.0
148,Ustye,RU,2021-01-19 17:00:14,59.6304,39.736,6.55,95,81,4.27
149,Koslan,RU,2021-01-19 17:00:15,63.4564,48.8989,8.06,95,100,7.9
150,Ilulissat,GL,2021-01-19 17:00:15,69.2167,-51.1,17.6,73,75,2.3
151,Gilbues,BR,2021-01-19 17:00:16,-9.8317,-45.3439,90.66,36,16,7.02
152,Salalah,OM,2021-01-19 17:00:16,17.0151,54.0924,77.0,44,0,1.14
153,Marawi,PH,2021-01-19 17:00:16,7.9986,124.2928,75.0,97,100,1.99
154,Sur,OM,2021-01-19 17:00:17,22.5667,59.5289,69.44,62,0,1.81
155,Shingu,JP,2021-01-19 17:00:17,33.7333,135.9833,31.42,90,0,6.91
156,Hilo,US,2021-01-19 17:00:07,19.7297,-155.09,69.8,83,75,3.44
157,Oranjemund,NA,2021-01-19 17:00:18,-28.55,16.4333,67.6,76,0,21.99
158,Kachug,RU,2021-01-19 17:00:18,53.9606,105.8817,3.06,88,100,4.88
159,Bonavista,CA,2021-01-19 17:00:19,48.6499,-53.1147,39.0,87,100,1.14
160,Makokou,GA,2021-01-19 17:00:19,0.5738,12.8642,75.27,89,69,1.9
161,Goryachegorsk,RU,2021-01-19 17:00:20,55.4053,88.9154,-6.05,87,77,12.55
162,Lata,PT,2021-01-19 17:00:20,40.1629,-8.3327,55.99,77,100,4.0
163,Monte Santo,BR,2021-01-19 17:00:21,-10.4378,-39.3328,91.62,29,76,7.0
164,Ewa Beach,US,2021-01-19 17:00:21,21.3156,-158.0072,71.6,88,75,3.44
165,Ribeira Grande,PT,2021-01-19 17:00:21,38.5167,-28.7,62.6,59,20,26.46
166,Monrovia,LR,2021-01-19 17:00:21,6.3005,-10.7969,89.6,66,20,13.8
167,Chapais,CA,2021-01-19 17:00:22,49.7834,-74.8492,-4.0,77,90,3.44
168,Kaitangata,NZ,2021-01-19 17:00:22,-46.2817,169.8464,49.08,66,77,15.39
169,Bredasdorp,ZA,2021-01-19 17:00:22,-34.5322,20.0403,71.6,60,20,18.41
170,Ejido,VE,2021-01-19 17:00:23,8.5514,-71.2375,80.13,37,24,6.04
171,Atar,MR,2021-01-19 17:00:23,20.5169,-13.0499,80.46,12,68,15.7
172,Trinidad,BO,2021-01-19 17:00:23,-14.8333,-64.9,84.2,61,40,8.05
173,Taitung,TW,2021-01-19 16:57:52,22.7583,121.1444,66.02,61,76,9.24
174,Mildura,AU,2021-01-19 17:00:24,-34.2,142.15,64.4,34,0,8.05
175,Aykhal,RU,2021-01-19 17:00:24,66.0,111.5,-50.58,75,100,2.33
176,Ribas Do Rio Pardo,BR,2021-01-19 17:00:24,-20.4431,-53.7592,83.07,64,100,4.16
177,Narsaq,GL,2021-01-19 17:00:25,60.9167,-46.05,28.4,54,75,2.3
178,Rio Grande,BR,2021-01-19 16:56:01,-32.035,-52.0986,78.8,61,20,11.5
179,Margate,GB,2021-01-19 17:00:25,51.3813,1.3862,48.99,81,100,10.0
180,Bambous Virieux,MU,2021-01-19 17:00:25,-20.3428,57.7575,81.0,89,75,3.44
181,San Ramon,US,2021-01-19 16:59:35,37.7799,-121.978,53.6,22,1,20.71
182,Chokurdakh,RU,2021-01-19 17:00:25,70.6333,147.9167,-37.64,83,17,3.74
183,Santa Cruz,BO,2021-01-19 16:58:11,-17.8,-63.1667,82.4,39,40,16.11
