City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Nacala,MZ,79.75,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
564,Nieves,PH,75.2,broken clouds,15.3274,120.9485,Bill's Inn
570,Luanda,AO,78.8,clear sky,-8.8368,13.2343,EPIC SANA Luanda
571,Eydhafushi,MV,82.83,broken clouds,5.1033,73.0708,Soneva Fushi
575,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
579,Majene,ID,78.24,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
593,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
595,Wewak,PG,79.61,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
598,Oistins,BB,82.4,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
602,Lagoa Santa,BR,82.4,scattered clouds,-19.6272,-43.8897,Hotel Lund
608,Honiara,SB,77.13,overcast clouds,-9.4333,159.95,Heritage Park Hotel
612,Kandrian,PG,76.95,overcast clouds,-6.2167,149.55,Kandrian Station
618,Batticaloa,LK,76.32,clear sky,7.7102,81.6924,Grand Star Guest House
620,Florianopolis,BR,80.01,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
622,Hatillo,PR,84.0,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
633,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
635,Port Hedland,AU,82.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
638,Buala,SB,78.62,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
640,Biak,ID,77.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
641,Kalmunai,LK,75.18,clear sky,7.4167,81.8167,VS Villa
642,Kudahuvadhoo,MV,83.34,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
644,Ambovombe,MG,78.57,scattered clouds,-25.1667,46.0833,RELAHARA
650,Alenquer,BR,86.0,few clouds,-1.9417,-54.7383,Josilene Castro
651,Sinnamary,GF,78.64,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
655,Sambava,MG,77.52,light rain,-14.2667,50.1667,Melrose
657,Rocha,UY,85.3,clear sky,-34.4833,-54.3333,Beleza Pura B&B
659,Maragogi,BR,80.04,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
663,Coahuayana,MX,87.8,broken clouds,18.7333,-103.6833,Hotel Los Arcos
666,Mayumba,GA,77.22,overcast clouds,-3.432,10.6554,LIKWALE LODGE
669,Varadero,CU,78.8,few clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
