City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Ascension,US,30.2169,-90.9001,61.0,88,90,4.61,overcast clouds
176,Jutai,BR,-5.1833,-68.9,79.56,93,100,2.59,moderate rain
177,Sussex,US,41.1834,-74.6663,28.4,37,1,10.36,clear sky
178,Chapais,CA,49.7834,-74.8492,6.8,72,40,11.5,light snow
179,Evensk,RU,61.95,159.2333,-11.83,84,100,8.57,overcast clouds
180,Baoding,CN,38.8511,115.4903,27.64,85,0,1.54,clear sky
181,Winnemucca,US,40.973,-117.7357,37.4,70,1,6.91,clear sky
182,Puerto Ayora,EC,-0.7393,-90.3518,84.2,65,40,13.8,scattered clouds
183,Nantucket,US,41.2835,-70.0995,30.99,47,75,18.41,broken clouds
184,Mendi,PG,-6.1761,143.6513,53.89,97,99,3.04,light rain
185,Thompson,CA,55.7435,-97.8558,-11.2,77,75,10.36,light snow
186,North Platte,US,41.1239,-100.7654,26.6,68,90,9.22,overcast clouds
187,Cidreira,BR,-30.1811,-50.2056,78.58,75,0,18.48,clear sky
188,Richards Bay,ZA,-28.783,32.0377,80.33,77,0,13.09,clear sky
189,Sisimiut,GL,66.9395,-53.6735,17.17,80,0,6.24,clear sky
190,Kodiak,US,57.79,-152.4072,41.0,52,1,11.5,clear sky
191,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.67,76,10,5.1,light rain
192,Leningradskiy,RU,69.3833,178.4167,-13.56,83,71,3.71,broken clouds
193,Edd,ER,13.9297,41.6925,78.31,37,0,18.95,clear sky
194,Topchikha,RU,52.8192,83.1185,5.0,78,75,8.95,light snow
195,Severo-Kurilsk,RU,50.6789,156.125,22.26,95,88,34.27,snow
196,Dumka,IN,24.2667,87.25,56.7,62,9,1.05,clear sky
197,Coquimbo,CL,-29.9533,-71.3436,69.8,68,20,12.66,few clouds
198,Porto Novo,BJ,6.4965,2.6036,80.6,61,100,5.75,haze
199,Kupang,ID,-10.1667,123.5833,80.46,79,100,6.73,moderate rain
200,Balsas,BR,-7.5325,-46.0356,89.51,54,20,4.03,few clouds
201,Vostochnyy,RU,55.8167,37.8667,35.6,100,90,6.71,fog
